id,topic,prob
2E4AFCD3987F,0,1.0
A91A08E523D5,0,1.0
4E078101C9DD,6,0.9333558402733297
F9368F6BAB62,13,1.0
B0CCFA21F82C,11,0.6947984338906651
F27691AEE065,8,1.0
0741F0C1D776,4,0.8923930238166654
22D938F5E0E2,4,1.0
35279D8353D6,12,0.7090002606086834
C24C0AF54AB1,15,0.9080662064295826
217A7429341D,5,1.0
6E5F2ED42575,3,1.0
49DA281C7585,4,1.0
CFB5BFF82CDE,15,0.822147540250583
32A121824D02,2,1.0
632C8DA9E2B1,0,1.0
436E25853B7F,6,0.6572834258941528
4EC4E3EFD09A,8,0.7031288998181469
628019536B7A,12,0.9578802367167077
3D0919A418E6,0,1.0
C42EBA5B3529,0,1.0
C996FC0CBE10,3,0.9763222653737549
D1ACADAC5ED4,4,1.0
508DB90F68C7,1,1.0
A32A838D1C3F,2,1.0
98A2AD61198B,4,0.8182404192777532
0242719E9969,12,0.678180359993387
7E3E96B4F614,0,1.0
67B143000AE2,3,1.0
13FB62D377E3,0,1.0
E949DAF7C54B,7,1.0
73D6F19E24BD,12,0.39259970148778817
BAC30ACCEEFF,1,1.0
17C80F3C80B3,9,1.0
5942FB27D5C3,0,1.0
B79F66D2BECA,0,1.0
20F9EE3FEC1F,2,1.0
8212DA6D0656,3,0.925887581910036
2D654BBA9310,0,1.0
F53C55BBD326,7,1.0
DC83F2FC879B,3,1.0
03CECCDBCC09,0,0.7360034048426651
0821EB1AEDED,6,1.0
417C226944D6,0,1.0
01FE696E9CC2,5,0.7611941282529652
71AF8059184A,0,1.0
1248C86D1F56,1,1.0
917E4889D3EF,0,1.0
486B53D5F8A0,5,1.0
20D57DEC3EF5,1,1.0
CD9B8F75E2EE,10,1.0
59DE92B483E3,5,0.6378043289193378
DBCC1F8F92B5,6,1.0
E8150D07AA28,8,0.8774508590872278
01B3A57AB13D,4,0.9607880613925124
A8F2D9005A0A,0,1.0
32B2D5592E1D,4,1.0
1E235AB03C8A,2,1.0
FC39D2688C50,5,0.8668240293170552
F5D927221FB8,10,1.0
7B1981581BC7,0,1.0
D5D31918A943,14,1.0
41E9768ADAF5,6,1.0
384D9E9B4369,1,1.0
10F4FEDEF052,6,0.5746686668870021
DE05DCB75D79,8,0.793679385463554
